File,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceVariablePrivate,CountDeclMethod,CountInput,CountLine,CountOutput,Cyclomatic,MaxInheritanceTree,MaxNesting,Churn,ChurnTotal,Unique,Crashes,Security
dom/media/ipc/VideoDecoderParent.cpp,10,1,573,0,29,0,2,107,25,5,1,8,53,4,36068,0
dom/plugins/base/nsNPAPIPluginInstance.cpp,77,0,2628,0,245,3,3,341,195,12,0,16,600,8,35931,0
xpcom/string/nsTSubstring.cpp,64,1,2359,0,177,1,1,260,355,3,1,13,1407,7,35203,0
gfx/thebes/gfxFontInfoLoader.h,11,1,770,3,20,0,34,57,47,33,1,1,8,1,34795,0
gfx/layers/composite/ImageComposite.h,3,0,276,1,6,0,5,6,4,12,0,0,0,0,34778,0
dom/media/ipc/VideoDecoderManagerParent.cpp,13,1,570,0,40,0,4,98,34,10,1,14,233,9,34743,0
dom/media/platforms/wmf/WMFDecoderModule.cpp,13,0,397,0,31,0,0,67,25,0,0,19,261,5,34645,0
gfx/layers/composite/TextureHost.h,22,14,2856,29,108,13,77,118,82,206,7,23,312,10,34566,0
gfx/layers/d3d11/TextureD3D11.cpp,83,1,3502,0,282,0,1,502,282,2,1,46,1234,17,34193,1
toolkit/components/extensions/webrequest/ChannelWrapper.cpp,82,1,1818,0,196,3,3,345,177,9,1,15,1484,4,34008,0
xpcom/build/XPCOMInit.cpp,19,2,1787,0,86,0,10,217,94,13,4,8,28,4,33860,0
gfx/ipc/GPUProcessManager.cpp,52,2,2289,0,144,3,5,296,98,7,2,23,585,12,33779,0
js/src/proxy/Proxy.cpp,61,0,1612,0,155,0,0,356,201,0,0,13,171,5,33436,0
gfx/ipc/InProcessCompositorSession.cpp,0,0,192,0,8,0,0,22,13,0,0,5,65,4,33225,0
gfx/gl/GLContextProviderEGL.cpp,38,0,1892,0,132,0,6,199,138,3,0,10,192,7,32742,0
dom/fetch/FetchConsumer.cpp,40,7,1421,0,85,12,23,155,64,21,7,26,1462,5,32625,0
xpcom/io/nsPipe3.cpp,91,3,4225,0,248,36,49,492,372,78,9,9,146,3,32316,0
dom/plugins/ipc/PluginModuleParent.cpp,96,2,5353,0,316,7,7,557,274,17,3,15,395,9,31513,0
js/src/proxy/Wrapper.cpp,19,0,859,0,65,0,0,179,167,0,0,10,180,3,31440,1
js/src/threading/Thread.h,3,0,762,0,14,6,5,35,49,48,0,0,0,0,31328,0
xpcom/components/nsComponentManager.cpp,93,0,3726,0,258,2,1,448,302,4,0,9,126,6,31190,0
image/Image.cpp,12,0,311,0,24,0,0,55,23,0,0,9,89,5,31094,0
js/src/builtin/Promise.cpp,125,6,7074,0,465,0,15,883,501,28,3,26,2804,8,30626,0
dom/vr/VRDisplay.cpp,38,0,1879,0,181,0,0,349,262,0,0,6,21,3,29943,1
tools/profiler/core/platform.cpp,108,2,6501,1,322,15,29,785,604,81,2,95,3931,13,29914,0
netwerk/cache2/CacheFileIOManager.cpp,261,28,9098,3,851,6,65,1274,942,45,17,14,1158,6,29428,0
js/src/jit/BaselineCompiler.cpp,153,0,9551,0,988,0,0,2012,801,0,0,27,593,8,29423,1
js/xpconnect/wrappers/XrayWrapper.cpp,111,0,4828,0,410,0,0,733,398,0,0,12,519,7,29405,0
dom/media/platforms/wrappers/H264Converter.cpp,22,0,1055,0,58,0,0,197,138,0,0,27,675,4,29277,0
layout/generic/nsGfxScrollFrame.cpp,240,2,12076,0,865,0,13,1753,1396,11,1,54,1027,21,28786,0
js/src/frontend/Parser.cpp,409,0,20311,0,2091,0,0,2762,1532,0,0,23,1138,10,28669,1
ipc/contentproc/plugin-container.cpp,2,0,103,0,2,0,0,5,5,0,0,1,1,1,28589,0
gfx/layers/composite/LayerManagerComposite.cpp,52,4,2757,0,172,0,16,339,115,24,4,20,1006,9,28426,0
db/sqlite3/src/sqlite3.c,2922,0,286430,0,11696,0,385,13931,21171,0,0,4,7862,2,28313,0
ipc/chromium/src/base/message_pump_win.h,5,5,854,3,7,2,22,17,4,43,3,0,0,0,27987,0
accessible/generic/DocAccessible.cpp,142,0,4726,0,387,5,4,595,373,8,0,26,271,11,27924,1
widget/android/fennec/Telemetry.h,6,3,244,0,14,0,7,31,17,7,1,0,0,0,27844,0
xpcom/io/nsStreamUtils.cpp,66,17,2300,2,144,6,29,251,198,41,9,5,70,2,27661,0
dom/script/ScriptLoadHandler.cpp,30,0,763,0,88,0,0,143,57,0,0,7,22,4,27607,0
ipc/glue/WindowsMessageLoop.cpp,77,0,2819,0,252,0,0,273,201,0,0,3,46,2,27398,0
dom/xbl/nsXBLWindowKeyHandler.cpp,48,1,1793,0,139,0,11,222,131,9,1,8,140,3,27353,0
js/src/gc/Statistics.cpp,80,0,2625,0,208,0,2,401,445,0,0,12,295,3,27317,0
layout/generic/nsImageFrame.cpp,132,3,4784,0,350,0,14,739,499,9,2,41,368,19,27186,0
js/src/jit/BacktrackingAllocator.cpp,164,0,6081,0,584,0,0,1034,362,0,0,2,61,2,27175,0
netwerk/base/nsAsyncRedirectVerifyHelper.cpp,19,2,585,0,51,2,3,83,50,2,1,4,32,4,27081,0
js/src/vm/TypeInference-inl.h,68,0,2412,0,211,0,4,390,742,9,0,4,60,1,26866,0
netwerk/protocol/http/HttpChannelParent.cpp,85,6,4376,0,286,11,8,668,339,11,5,19,142,11,26813,1
nsprpub/pr/src/pthreads/ptthread.c,0,0,1822,0,0,0,0,0,0,0,0,0,0,0,26703,0
netwerk/base/nsInputStreamPump.cpp,51,0,1470,0,148,0,1,147,54,1,0,10,210,5,26263,0
gfx/vr/VRDisplayPresentation.cpp,9,0,266,0,22,0,0,32,9,0,0,3,59,2,26030,0
js/src/vm/StructuredClone.cpp,108,0,7165,0,486,27,69,854,685,97,0,5,35,3,25983,1
xpcom/threads/AbstractThread.cpp,19,5,883,0,48,7,17,146,63,15,2,8,124,2,25878,0
xpcom/threads/TaskDispatcher.h,16,3,754,2,35,4,10,71,39,27,2,5,30,2,25863,0
layout/base/nsFrameManager.cpp,47,4,1661,0,104,0,4,176,123,12,4,13,311,5,25760,1
dom/xbl/nsXBLPrototypeHandler.cpp,55,0,2161,0,265,0,0,244,229,0,0,8,143,5,25661,0
gfx/thebes/gfxFontEntry.cpp,99,0,3655,0,283,3,5,481,367,11,0,8,124,3,25557,0
layout/painting/nsCSSRendering.cpp,136,0,9178,0,567,0,11,947,924,13,0,42,876,18,25116,0
netwerk/cache2/CacheFileChunk.cpp,36,2,1820,0,115,0,4,328,279,3,1,8,59,3,24959,0
gfx/webrender_bindings/RenderThread.cpp,15,0,738,0,48,0,0,119,47,0,0,17,358,11,24947,0
xpcom/ds/nsExpirationTracker.h,35,2,1576,14,80,13,21,138,128,51,2,3,88,3,24933,0
dom/canvas/WebGLContext.cpp,88,2,4503,0,319,2,2,548,279,6,2,29,417,17,24875,0
js/src/jit/SharedIC.cpp,84,0,5437,0,402,0,0,858,604,0,0,25,353,8,24838,1
netwerk/protocol/http/HttpBaseChannel.cpp,281,3,8200,0,813,5,21,1385,783,21,3,26,339,16,24812,1
dom/html/nsGenericHTMLElement.cpp,185,2,5843,0,515,1,7,785,522,2,1,43,527,19,24235,0
accessible/ipc/DocAccessibleParent.cpp,28,0,1305,0,88,0,0,171,85,0,0,12,171,5,23820,0
xpcom/ds/nsObserverList.cpp,17,0,264,0,33,0,0,38,27,0,0,0,0,0,23543,0
layout/build/nsContentDLF.cpp,19,0,736,0,53,0,0,94,67,0,0,11,226,7,23493,0
netwerk/cache2/CacheStorageService.cpp,149,16,4995,2,392,10,52,730,414,45,10,14,390,9,23467,0
ipc/chromium/src/base/task.h,8,14,767,1,37,7,7,75,86,36,8,5,180,2,23435,0
tools/profiler/core/shared-libraries-win32.cc,8,0,409,0,25,0,1,44,32,0,0,3,15,2,23381,0
netwerk/protocol/http/nsHttpConnection.cpp,111,2,4743,0,364,3,1,547,216,2,1,18,530,10,22907,0
gfx/layers/basic/BasicLayerManager.cpp,44,0,1903,0,123,0,8,327,127,6,0,8,76,6,22540,0
image/SVGDocumentWrapper.cpp,34,0,838,0,96,0,0,126,34,0,0,9,36,5,22389,0
js/src/proxy/CrossCompartmentWrapper.cpp,52,0,1383,0,116,2,1,254,147,3,0,7,142,2,21979,1
js/src/jscntxt.cpp,80,1,3227,0,214,10,1,421,579,9,1,16,186,6,20931,0
accessible/base/NotificationController.cpp,38,0,1897,0,148,0,3,240,65,2,0,5,15,4,20883,0
widget/android/jni/Utils.cpp,20,2,554,0,35,1,2,98,69,2,1,2,31,1,20853,0
toolkit/components/windowwatcher/nsWindowWatcher.cpp,97,1,5136,0,436,2,10,487,322,17,1,5,35,4,20752,0
netwerk/ipc/NeckoParent.cpp,45,0,1904,0,137,0,0,330,146,0,0,11,466,9,20720,0
dom/html/HTMLMediaElement.cpp,381,28,15053,3,1234,26,70,2033,1207,97,23,86,2230,24,19755,0
layout/generic/nsAbsoluteContainingBlock.cpp,23,0,1500,0,88,0,0,176,116,0,0,3,10,3,19679,1
js/src/jit/CodeGenerator.cpp,259,68,24785,1,1169,44,80,5670,1871,86,23,63,2385,17,19641,1
intl/Encoding.h,13,0,2370,0,60,0,14,167,69,37,0,5,51,3,19383,0
xpcom/base/nsCOMPtr.cpp,10,0,232,0,19,0,0,33,9,0,0,1,11,1,19373,0
gfx/layers/ipc/ImageBridgeParent.cpp,22,0,844,0,56,2,2,132,61,4,0,10,136,4,19219,0
layout/style/nsStyleContext.cpp,10,0,956,0,170,0,0,135,30,0,0,45,2218,10,18974,0
layout/tables/nsTableFrame.cpp,413,5,17309,0,1181,17,137,2188,1600,113,2,77,1369,24,18576,0
dom/workers/WorkerPrivate.cpp,330,41,16379,0,1000,45,173,1939,885,144,38,46,819,17,18557,1
dom/base/nsContentSink.cpp,87,0,3238,0,278,0,0,403,311,0,0,23,213,15,18536,0
accessible/windows/msaa/AccessibleWrap.cpp,75,1,3269,0,285,3,2,458,221,10,1,7,19,4,18482,0
